id,fk_provider_id,fk_type_id,slogan,description,short_description,keywords,language_spoken1,language_spoken2,language_spoken3,language_spoken4,image_path_1,image_path_2,image_path_3,image_path_4,video_image_1,video_image_2,reg_date
1,1,20,Devolved optimal process improvement,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",tour,Montenegrin,Romanian,Malayalam,Kashmiri,http://dummyimage.com/101x135.jpg/5fa2dd/ffffff,http://dummyimage.com/205x252.png/cc0000/ffffff,,,,http://dummyimage.com/179x154.jpg/5fa2dd/ffffff,7/21/2016
2,2,15,Synergistic intermediate productivity,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,hiking,Kazakh,Montenegrin,Finnish,Dari,http://dummyimage.com/164x127.jpg/dddddd/000000,http://dummyimage.com/213x249.jpg/cc0000/ffffff,http://dummyimage.com/228x243.png/ff4444/ffffff,,http://dummyimage.com/234x223.png/ff4444/ffffff,,2/6/2017
3,3,28,Digitized asymmetric definition,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,snorkeling,Sotho,Croatian,Hiri Motu,Nepali,http://dummyimage.com/228x229.bmp/cc0000/ffffff,http://dummyimage.com/270x200.bmp/dddddd/000000,,http://dummyimage.com/239x203.png/dddddd/000000,http://dummyimage.com/197x228.png/ff4444/ffffff,http://dummyimage.com/175x130.png/cc0000/ffffff,12/13/2016
4,4,20,Optimized human-resource system engine,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Suspendisse accumsan tortor quis turpis. Sed ante.,restaurant,Afrikaans,Somali,Armenian,Khmer,http://dummyimage.com/205x194.jpg/5fa2dd/ffffff,http://dummyimage.com/220x240.png/5fa2dd/ffffff,,,http://dummyimage.com/185x108.jpg/dddddd/000000,,4/16/2017
5,5,27,Assimilated exuding leverage,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Duis mattis egestas metus.,biking,Guaraní,Hebrew,Fijian,Dzongkha,http://dummyimage.com/186x176.png/5fa2dd/ffffff,http://dummyimage.com/296x294.png/5fa2dd/ffffff,http://dummyimage.com/170x195.jpg/dddddd/000000,,http://dummyimage.com/191x155.bmp/cc0000/ffffff,,6/22/2016
6,6,19,Object-based dynamic data-warehouse,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,hawaiian,Papiamento,Irish Gaelic,Maltese,Czech,http://dummyimage.com/234x120.jpg/cc0000/ffffff,http://dummyimage.com/288x280.png/ff4444/ffffff,,,,,10/11/2016
7,7,27,Upgradable human-resource pricing structure,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Aliquam quis turpis eget elit sodales scelerisque.,eating,Amharic,Kannada,Haitian Creole,Korean,http://dummyimage.com/227x214.jpg/cc0000/ffffff,http://dummyimage.com/209x281.png/dddddd/000000,http://dummyimage.com/225x180.png/cc0000/ffffff,,http://dummyimage.com/174x186.jpg/cc0000/ffffff,,12/29/2016
8,8,10,Robust directional time-frame,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",Morbi quis tortor id nulla ultrices aliquet.,biking,Chinese,Zulu,Polish,Malagasy,http://dummyimage.com/219x221.jpg/cc0000/ffffff,,http://dummyimage.com/215x158.jpg/5fa2dd/ffffff,http://dummyimage.com/247x213.png/cc0000/ffffff,,,5/1/2016
9,9,29,Pre-emptive encompassing complexity,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,nature,English,Tsonga,Persian,Pashto,http://dummyimage.com/134x191.bmp/5fa2dd/ffffff,http://dummyimage.com/289x252.bmp/5fa2dd/ffffff,http://dummyimage.com/182x233.bmp/cc0000/ffffff,http://dummyimage.com/214x222.jpg/ff4444/ffffff,,http://dummyimage.com/119x144.png/5fa2dd/ffffff,12/24/2016
10,10,13,Customer-focused client-driven data-warehouse,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,monk seal,Gagauz,Ndebele,English,Japanese,http://dummyimage.com/201x226.bmp/ff4444/ffffff,http://dummyimage.com/226x216.jpg/ff4444/ffffff,http://dummyimage.com/166x176.png/ff4444/ffffff,,http://dummyimage.com/136x127.jpg/cc0000/ffffff,,4/2/2017
11,11,8,Quality-focused explicit open system,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,hawaiian,Burmese,Italian,Dari,Lithuanian,http://dummyimage.com/203x176.jpg/ff4444/ffffff,http://dummyimage.com/272x256.bmp/cc0000/ffffff,,,http://dummyimage.com/225x125.bmp/5fa2dd/ffffff,,8/15/2016
12,12,28,Inverse context-sensitive software,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Aliquam sit amet diam in magna bibendum imperdiet.,drinks,Kannada,Dhivehi,Icelandic,Assamese,http://dummyimage.com/165x153.jpg/5fa2dd/ffffff,http://dummyimage.com/267x278.jpg/ff4444/ffffff,http://dummyimage.com/219x181.png/ff4444/ffffff,,,,8/14/2016
13,13,22,Synergistic systemic adapter,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",tour,Georgian,Assamese,Tsonga,Moldovan,http://dummyimage.com/136x154.bmp/ff4444/ffffff,http://dummyimage.com/284x297.bmp/ff4444/ffffff,http://dummyimage.com/183x239.jpg/dddddd/000000,,http://dummyimage.com/132x238.bmp/dddddd/000000,,9/12/2016
14,14,27,Enterprise-wide cohesive capacity,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Morbi a ipsum.,art,Ndebele,Bislama,Lithuanian,Albanian,http://dummyimage.com/246x165.jpg/5fa2dd/ffffff,http://dummyimage.com/214x217.png/dddddd/000000,http://dummyimage.com/191x163.bmp/dddddd/000000,http://dummyimage.com/249x207.png/ff4444/ffffff,http://dummyimage.com/148x102.png/cc0000/ffffff,http://dummyimage.com/185x215.bmp/dddddd/000000,6/23/2016
15,15,4,Organized 6th generation productivity,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",Donec semper sapien a libero. Nam dui.,surfing,Thai,Belarusian,Arabic,Bengali,http://dummyimage.com/199x195.jpg/5fa2dd/ffffff,http://dummyimage.com/238x248.jpg/cc0000/ffffff,http://dummyimage.com/155x155.bmp/dddddd/000000,,,,8/6/2016
16,16,20,Virtual contextually-based structure,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Nullam varius.,surfing,Hungarian,Swahili,Indonesian,Polish,http://dummyimage.com/150x166.jpg/ff4444/ffffff,http://dummyimage.com/213x218.png/ff4444/ffffff,,http://dummyimage.com/215x209.jpg/dddddd/000000,,,10/6/2016
17,17,27,Cross-group fault-tolerant methodology,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,snorkeling,Persian,Italian,Quechua,Kannada,http://dummyimage.com/178x130.jpg/cc0000/ffffff,,,,,,9/22/2016
18,18,12,Reverse-engineered cohesive success,In congue. Etiam justo. Etiam pretium iaculis justo.,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,restaurant,Assamese,English,Gujarati,Northern Sotho,http://dummyimage.com/199x143.png/dddddd/000000,http://dummyimage.com/216x206.png/dddddd/000000,,http://dummyimage.com/246x231.jpg/5fa2dd/ffffff,http://dummyimage.com/165x240.jpg/dddddd/000000,,10/15/2016
